TagID,Latitude,Longitude,Address,Sign,GPS_Latitude,GPS_Longitude,Count,Time
0x300010000000000000000005,30.614433,-96.4195,Leonard Rd,Highway Intersection,,,0,
0x300010000000000000000019,30.617755,-96.4247,Intersection of 1688 and 47,Do Not Enter Sign,,,0,
0x300010000000000000000003,30.627052,-96.4346,quarter mile to the reproductive center,Adopt a Highway,,,0,
0x300010000000000000000006,30.627052,-96.4346,quarter mile to the reproductive center,Adopt a Highway,,,0,
0x300010000000000000000015,30.631423,-96.44,Reproductive Sciences Complex,Texas 47,,,0,
0x300010000000000000000022,30.605757,-96.411,47 at West Villa Maria,Adopt a Highway,,,0,
0x300010000000000000000014,30.605757,-96.411,47 at West Villa Maria,Adopt a Highway,,,0,
0x300010000000000000000001,30.605535,-96.4107,47 at West Villa Maria,South Texas 47,,,0,
0x100000000000000000000007,unknown,unknown,unknown,unknown,30.597188,30.597188,-10000,"Fri, 23 Sep 2016 22:46:36 GMT"
0x100000000000000000000002,30.642829,-96.4741,Avenue A - Third St,Yield,30.601122,30.601122,-10000,"Fri, 23 Sep 2016 22:47:05 GMT"
